State	wavelength	v	f
1	139.63	7161.784717	0
2	136.95	7301.935013	0
3	136.95	7301.935013	0
4	134.59	7429.972509	0
5	134.58	7430.524595	0
6	110.43	9055.510278	0
7	110.43	9055.510278	0
8	110.42	9056.330375	0.0872
9	109.88	9100.837277	0
10	108.11	9249.838128	0.0499
11	108.11	9249.838128	0.0499
12	96.92	10317.78787	0.3253
13	96.34	10379.9045	0
14	94.91	10536.29755	0
15	94.91	10536.29755	0
